936189;Community counts: The social reintegration of ex-combatants in Colombia
172379;Epidemiologically Linked COVID-19 Outbreaks at a Youth Camp and Men's Conference - Illinois, June-July 2021
84737;circIQCH sponges miR-145 to promote breast cancer progression by upregulating DNMT3A expression
385447;Timed Up and Go: Reference Values for Community-Dwelling Older Adults with and without Arthritis and Non-Communicable Diseases: The Tromsø Study
792039;Relative deprivation and disordered gambling in youths
549673;Anisomycin protects against sepsis by attenuating IκB kinase-dependent NF-κB activation and inflammatory gene expression
847552;PD-L1 and Emerging Biomarkers in Immune Checkpoint Blockade Therapy
182796;Shift work and physical inactivity: findings from the Finnish Public Sector Study with objective working hour data
197573;Elementary teacher's knowledge of response to intervention implementation: a preliminary factor analysis
92384;Ultrasound-guided fine needle aspiration biopsy (FNAB) demonstrating upper distal extremity metastasis of lung adenocarcinoma: a case report and review of the literature
902055;Cognitive Load Theory and Human Movement: Towards an Integrated Model of Working Memory
637790;Measurement properties of self-report questionnaires on health-related quality of life and functional health status in dysphonia: a systematic review using the COSMIN taxonomy
957213;Analysis of Approaches to the Choice of Methods for Applying or Laying Repair Materials for the Concrete Restoration of Hydro-Technical Facilities
932654;Autism and General Developmental Screening Practices Among Primary Care Providers
729784;Accumulation of volatile phenol glycoconjugates in grapes following grapevine exposure to smoke and potential mitigation of smoke taint by foliar application of kaolin
600585;Socioeconomic disparities in life expectancy gains among retired German men, 1997-2016
675095;HIV and COVID-19: review of clinical course and outcomes
525543;Flavopereirine Suppresses the Progression of Human Oral Cancer by Inhibiting the JAK-STAT Signaling Pathway via Targeting LASP1
616795;Expression of tomato prosystemin gene in Arabidopsis reveals systemic translocation of its mRNA and confers necrotrophic fungal resistance
362946;Persistent seed banking as eco-evolutionary determinant of plant nucleotide diversity: novel population genetics insights
917424;Prognostic biomarkers for predicting papillary thyroid carcinoma patients at high risk using nine genes of apoptotic pathway
752368;Phase II Study of Nivolumab Plus Ipilimumab with Platinum-Based Chemotherapy for Treatment-Naïve Advanced Non-Small Cell Lung Cancer with Untreated Brain Metastases: NIke Trial (LOGiK2004)
819492;Writing in doctoral programs: examining supervisors’ perspectives
562756;Cognitive Dissonance of Self-Standards: A Negative Interaction of Green Compensation and Green Training on Employee Pro-Environmental Behavior in China
459999;Barthel Index as a Predictor of Mortality in Patients with Acute Coronary Syndrome: Better Activities of Daily Living, Better Prognosis
557333;Susceptibility of Musca domestica larvae and adults to entomopathogenic nematodes (Rhabditida: Heterorhabditidae, Steinernematidae) native to Mexico
429469;Prospective Relay Protection System for Digital Distribution Networks
895531;Self-Reported Menstrual Alterations During the COVID-19 Syndemic in Spain: A Cross-Sectional Study
420450;Substance Use and Prevention Programs in Berlin's Party Scene: Results of the SuPrA-Study
372229;Histone variants in archaea and the evolution of combinatorial chromatin complexity
538267;Assessing test-retest reliability of patient-reported outcome measures using intraclass correlation coefficients: recommendations for selecting and documenting the analytical formula
735594;Nudge-nudge, WNK-WNK (kinases), say no more?
793520;Increased Ankle Plantar Flexor Stiffness Is Associated With Reduced Mechanical Response to Stretch in Adults With CP
570264;Container Profiler: Profiling resource utilization of containerized big data pipelines
452540;Six groups of ground-dwelling arthropods show different diversity responses along elevational gradients in the Swiss Alps
818569;SNHG16: A Novel Long-Non Coding RNA in Human Cancers
898693;AUTOMATIC LABELING OF CORTICAL SULCI USING SPHERICAL CONVOLUTIONAL NEURAL NETWORKS IN A DEVELOPMENTAL COHORT
672761;Mechanical properties of magnetic gels containing rod-like composite particles
904011;Tactile distance illusions reflect a coherent stretch of tactile space
437574;Island rewilding with giant tortoises in an era of climate change
927868;Effect of number of medications and complexity of regimens on medication adherence and blood pressure management in hospitalized patients with hypertension
282255;Bolzano and Kim on grounding and unification
999510;PSXV-4 Analysis of the Relationship between Carcass Traits and Linear Body Measurements in Hanwoo Cattle
110560;Immune-related adverse events following administration of anti-cytotoxic T-lymphocyte-associated protein-4 drugs: a comprehensive systematic review and meta-analysis
264767;Rare species, functional groups, and evolutionary lineages drive successional trajectories in disturbed forests
73767;Taxonomic description and pollination ecology of Cyrtorchis okuensis (Orchidaceae, Angraecinae), a new species endemic to the Cameroon Volcanic Line
97030;Neutral Nonenzymatic Glucose Biosensors Based on Electrochemically Deposited Pt/Au Nanoalloy Electrodes
86120;Risk Factors for Carbapenem-Resistant Klebsiella pneumoniae Bloodstream Infections and Outcomes
449567;MdWRKY40 promotes wounding-induced anthocyanin biosynthesis in association with MdMYB1 and undergoes MdBT2-mediated degradation
665265;A Variable-Impedance Tactile Sensor With Online Performance Tuning for Tissue Hardness Palpation in Robot-Assisted Minimally Invasive Surgery
527046;Genipin Induces Autophagy and Suppresses Cell Growth of Oral Squamous Cell Carcinoma via PI3K/AKT/MTOR Pathway
705020;Treatment Patterns Among Adults with Primary Immune Thrombocytopenia Diagnosed in Hematology Clinics in the United States
928906;Cannabidiol increases gramicidin current in human embryonic kidney cells: An observational study
245732;Role of in silico structural modeling in predicting immunogenic neoepitopes for cancer vaccine development
263262;Protective Efficacy and Long-Term Immunogenicity in Cynomolgus Macaques by Ebola Virus Glycoprotein Synthetic DNA Vaccines
317376;Incremental peritoneal dialysis after unplanned start initiation
65543;Dopaminergic basis for signaling belief updates, but not surprise, and the link to paranoia
676527;Superoxide dismutase 3 prevents early stage diabetic retinopathy in streptozotocin-induced diabetic rat model
906609;PEBP1 suppresses HIV transcription and induces latency by inactivating MAPK/NF-κB signaling
59177;Civil society in times of change: shrinking, changing and expanding spaces and the need for new regulatory approaches
216184;Higher Serum Leptin Levels are Associated with a Reduced Risk of Sarcopenia but a Higher Risk of Dynapenia Among Older Adults
735988;Climate change effects on Black Sigatoka disease of banana
398695;Subacute exposure to residual oil fly ash (ROFA) increases eHSP70 content and extracellular-to-intracellular HSP70 ratio: a relation with oxidative stress markers
262033;Associations of IL-1β and IL-6 gene polymorphisms with Parkinson's disease
820101;Exotic plant species are locally adapted but not to high ultraviolet-B radiation: a reciprocal multispecies experiment
208018;Bio Framework-Derived Facile MoO3-NiO-PdO-Pd Nanomaterial for Detoxification of Organic Pollutants
98075;Understanding Artificial Intelligence and Predictive Analytics: A Clinically Focused Review of Machine Learning Techniques
161215;Task-based fMRI predicts response and remission to exposure therapy in obsessive-compulsive disorder
502764;Perfluorooctylbromide nanoparticles for ultrasound imaging and drug delivery
904322;Snagfall the first decade after severe bark beetle infestation of high-elevation forests in Colorado, USA
627252;Hypoxia-Targeting Multifunctional Nanoparticles for Sensitized Chemotherapy and Phototherapy in Head and Neck Squamous Cell Carcinoma
922;Erector Spinae Plane Block for Lumbar Spinal Surgery: A Systematic Review
696029;Extracorporeal shock wave therapy in situ - novel approach to obtain an activated fat graft
376190;Relation between functional coronary artery stenosis and graft occlusion after coronary artery bypass grafting
673986;Differential impact of antenatal exposure to antiseizure medications on motor and mental development in infants of women with epilepsy
67632;A meta-analysis of plant responses to light intensity for 70 traits ranging from molecules to whole plant performance
801048;Adolescents' perceptions of family social status correlate with health and life chances: A twin difference longitudinal cohort study
209946;Effects of attachment substrate, larval diet, and temperature on development and survival of immature Coquillettidia linealis (Skuse) and Coquillettidia xanthogaster (Edwards)
3389;Effects of Remote Proctoring on Composite Examination Performance Among Doctor of Pharmacy Students
7352;As temperature increases, predator attack rate is more important to survival than a smaller window of prey vulnerability
497626;Single Crystals of Mixed-Cation Copper-Based Perovskite with Trimodal Bandgap Behavior
256385;Mechanical Failure of 2 Cannulated Screw Fixation for Unstable SCFE: A Case Report
472916;Health-related quality of life in mothers of children with epilepsy: 10 years after diagnosis
538879;Nucleosome Positioning Regulates the Establishment, Stability, and Inheritance of Heterochromatin in Saccharomyces cerevisiae
458689;Molecular Phylogeny and Dating Reveal a Terrestrial Origin in the Early Carboniferous for Ascaridoid Nematodes
447791;Reliability Approach to Optimal Thruster Configuration Design for Spacecraft Attitude Control Subsystem
32681;Histone deacetylase 1 controls cardiomyocyte proliferation during embryonic heart development and cardiac regeneration in zebrafish
700009;SKIP regulates environmental fitness and floral transition by forming two distinct complexes in Arabidopsis
183354;A Narrative Review on Contemporary and Emerging Uses of Inertial Sensing in Occupational Ergonomics
579331;Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm
432214;Long-term persistence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) spike protein-specific and neutralizing antibodies in recovered COVID-19 patients
919897;Transient infant movements (TIM): frequent infant non-pathological developmental motor phenomena
431587;Metagenomic analysis of oral microbiota among oral cancer patients and tobacco chewers in Rajasthan, India
58154;Von Willebrand disease in the elderly: clinical perspectives
256446;Use of sodium glucose cotransporter 2 inhibitors and risk of major cardiovascular events and heart failure: Scandinavian register based cohort study
572540;Sea urchin reproductive performance in a changing ocean: poor males improve while good males worsen in response to ocean acidification
322738;School-Based Telemedicine Interventions for Asthma: A Systematic Review
895232;Forest fires in Canadian permafrost region: the combined effects of fire and permafrost dynamics on soil organic matter quality
105148;Comparison of ARIMA and LSTM for prediction of hemorrhagic fever at different time scales in China
903261;Gene exchange between two divergent species of the fungal human pathogen, Coccidioides : INTROGRESSION BETWEEN TWO FUNGAL PATHOGENS
519676;Haemolymph removal by Varroa mite destabilizes the dynamical interaction between immune effectors and virus in bees, as predicted by Volterra's model
353200;OPTN/SRTR 2017 Annual Data Report: Heart
